,,,,,,,Totals,,,Advanced,,,,,,,,,,,,,,,,,,,,Per 75 Possesions,,,,,,,,,,,,,,,,,,,,Shooting,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
47,Paul George,2020-21,30,LAC,NBA,5.3,54,54,1821,20.5,0.437,0.239,2.9,18.9,11.1,24.6,1.7,1.2,14.5,30,113,110,3,2.3,0.139,4,-0.4,3.7,2.6,9.1,19.4,5.6,11,3.5,8.5,4,4.6,0.9,6.4,7.3,5.7,1.3,0.5,3.7,2.7,25.7,0.467,0.51,0.411,0.557,0.868,0.598
48,Brandon Ingram,2020-21,23,NOP,NBA,5.3,61,61,2093,19.2,0.341,0.291,1.8,13.7,7.8,22.4,1,1.6,11,28,115,116,3.9,1.3,0.12,3.6,-1.4,2.2,2.2,8.8,18.9,6.4,12.5,2.5,6.4,4.8,5.5,0.6,4.6,5.1,5.1,0.7,0.6,2.6,2.1,24.9,0.466,0.51,0.381,0.531,0.878,0.584
49,Brook Lopez,2020-21,32,MIL,NBA,5.3,70,70,1902,15.4,0.439,0.222,6,13,9.6,3.5,1,4.8,8.3,16.9,121,111,3.1,2.2,0.133,0.1,-0.1,0,1,6,11.9,4.2,6.6,1.8,5.2,2.2,2.6,1.9,4.5,6.4,0.9,0.7,1.9,1.2,2.8,15.9,0.503,0.632,0.338,0.577,0.845,0.611
50,Robert Williams,2020-21,23,BOS,NBA,5.3,52,13,985,25.7,0.008,0.283,14.9,25.6,20.2,14.2,2.1,8.6,15.2,15,139,104,3.4,1.9,0.258,3,3.1,6.1,2,6.9,9.6,6.9,9.5,0,0.1,1.7,2.7,4.9,8.4,13.3,3.5,1.6,3.4,1.9,3.9,15.5,0.721,0.727,0,0.721,0.616,0.719
51,Bojan Bogdanović,2020-21,31,UTA,NBA,5.2,72,72,2216,14,0.498,0.286,2,11.1,6.7,9.1,1,0.1,10.9,22.8,113,112,2.7,2.5,0.113,0.1,-0.9,-0.8,0.7,6.7,15.2,3.7,7.6,3,7.6,3.8,4.4,0.7,4,4.6,2.2,0.7,0.1,2.1,1.9,20.2,0.439,0.487,0.39,0.536,0.879,0.588
52,Joe Harris,2020-21,29,BRK,NBA,5.2,69,65,2141,14.1,0.628,0.089,2.3,10.1,6.4,8.4,1,0.6,7.8,16.2,126,117,4.1,1.1,0.117,1.7,-1.5,0.2,1.2,6,11.9,2.5,4.4,3.6,7.5,0.8,1.1,0.7,3.5,4.2,2.2,0.8,0.2,1,2.4,16.5,0.505,0.555,0.475,0.654,0.778,0.663
53,Nerlens Noel,2020-21,26,NYK,NBA,5.2,64,41,1547,14.8,0.013,0.314,10.1,18.4,14.3,4.1,2.3,8.7,20.4,9.2,121,101,1.6,3.6,0.162,-2.5,3.5,1,1.2,3.3,5.4,3.3,5.3,0,0.1,1.2,1.7,3.4,6.5,9.9,1.1,1.7,3.4,1.6,4.3,7.9,0.614,0.623,0,0.614,0.714,0.638
54,Terry Rozier,2020-21,26,CHO,NBA,5.2,69,69,2383,17.1,0.504,0.178,2.1,11.8,6.9,20,1.8,1.1,9.5,24.4,113,114,3.3,2,0.105,2.4,-0.9,1.5,2.1,7.8,17.4,4.4,8.7,3.4,8.8,2.5,3.1,0.7,3.9,4.6,4.5,1.3,0.4,2,1.8,21.6,0.45,0.512,0.389,0.548,0.817,0.575
55,Jalen Brunson,2020-21,24,DAL,NBA,5.1,68,12,1697,17.1,0.319,0.241,1.8,13.1,7.5,21.3,1,0.1,10.3,20.2,123,116,3.9,1.1,0.143,1.4,-0.9,0.5,1.1,7.1,13.7,5.4,9.3,1.8,4.4,2.6,3.3,0.6,4.4,5,5.2,0.8,0,1.7,2.4,18.7,0.523,0.578,0.405,0.588,0.795,0.618
56,Derrick Favors,2020-21,29,UTA,NBA,5.1,68,0,1039,19.7,0.008,0.329,14.7,23.3,19.2,6,1.5,5.3,11.5,13,138,103,2.9,2.2,0.237,0.2,1.8,2,1,5.5,8.5,5.5,8.5,0,0.1,2.1,2.8,4.9,8.4,13.2,1.5,1.1,2.4,1.3,5,13,0.638,0.643,0,0.638,0.738,0.663
