,,,,,,,Totals,,,Advanced,,,,,,,,,,,,,,,,,,,,Per 75 Possesions,,,,,,,,,,,,,,,,,,,,Shooting,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
261,Malik Beasley,2020-21,24,MIN,NBA,1.3,37,36,1214,14.6,0.535,0.133,2.4,12.4,7.2,11.6,1.2,0.5,8.6,24,109,118,0.9,0.4,0.053,1.7,-2.3,-0.6,0.4,7.7,17.5,4,8.1,3.7,9.4,2,2.3,0.8,3.9,4.7,2.6,0.9,0.2,1.8,1.8,21.1,0.44,0.487,0.399,0.547,0.85,0.57
262,Goran Dragić,2020-21,34,MIA,NBA,1.3,50,11,1337,13,0.44,0.22,2.2,12.1,7.2,25.9,1.2,0.6,16.2,24.5,104,114,0.2,1.2,0.048,-1.2,-1.8,-3,-0.3,6.7,15.5,4.2,8.7,2.5,6.8,2.8,3.4,0.7,4,4.7,6.1,0.9,0.2,3.3,3.1,18.7,0.432,0.479,0.373,0.514,0.828,0.552
263,Solomon Hill,2020-21,29,ATL,NBA,1.3,71,16,1513,6.7,0.711,0.154,3.1,12.2,7.7,6.4,1.6,0.6,11.7,10.4,104,115,0.1,1.2,0.04,-3,0.2,-2.8,-0.3,2.6,7.3,1,2.1,1.7,5.2,0.9,1.1,1,4.2,5.2,1.8,1.2,0.3,1,2.8,7.7,0.359,0.453,0.321,0.473,0.761,0.498
264,Ty Jerome,2020-21,23,OKC,NBA,1.3,33,1,788,13.4,0.585,0.118,1.3,10.8,6,23.7,1.2,0.7,13.5,18.8,113,116,0.9,0.4,0.079,0.1,-0.4,-0.3,0.3,5.8,13,2.6,5.4,3.2,7.6,1.2,1.5,0.5,3.7,4.1,5.4,0.9,0.3,2.1,2.8,16,0.446,0.479,0.423,0.57,0.765,0.585
265,Mike Muscala,2020-21,29,OKC,NBA,1.3,35,0,645,14.7,0.689,0.135,3,18.4,10.6,7,0.6,1.5,6.9,20,116,115,0.9,0.4,0.096,0.8,-1.2,-0.3,0.3,6.6,14.8,2.8,4.6,3.8,10.2,1.8,2,1.1,6.2,7.3,1.5,0.4,0.6,1.2,3,18.7,0.446,0.614,0.37,0.573,0.917,0.599
266,David Nwaba,2020-21,28,HOU,NBA,1.3,30,9,679,14.4,0.289,0.312,6,12.8,9.3,6.9,2.1,2.8,6.4,16.6,115,114,0.7,0.6,0.094,-1.3,1,-0.3,0.3,5.5,11.4,4.7,8.1,0.9,3.3,2.5,3.6,2.1,4.1,6.2,1.6,1.6,1.1,0.9,3.1,14.4,0.486,0.574,0.27,0.525,0.691,0.557
267,Chuma Okeke,2020-21,22,ORL,NBA,1.3,45,19,1133,11.8,0.435,0.123,3.7,13.2,8.3,13.2,2.1,1.8,10,14.5,107,114,0.3,1,0.056,-1.8,0.4,-1.4,0.2,4.3,10.4,2.8,5.9,1.6,4.5,1,1.3,1.4,4.5,5.8,3.3,1.5,0.7,1.2,1.5,11.2,0.417,0.47,0.348,0.492,0.75,0.511
268,Josh Okogie,2020-21,22,MIN,NBA,1.3,59,37,1197,9.1,0.425,0.425,5.5,8.7,7.1,7,2.1,2,12.5,12.1,109,116,0.5,0.8,0.051,-3.9,0.1,-3.7,-0.5,3,7.5,2.2,4.3,0.9,3.2,2.5,3.2,1.9,2.8,4.6,1.9,1.6,0.8,1.3,3.6,9.4,0.402,0.5,0.269,0.459,0.769,0.524
269,Otto Porter,2020-21,27,TOT,NBA,1.3,28,6,606,14.5,0.458,0.185,5.2,22.4,13.8,12.9,1.3,0.6,9.2,19.3,113,112,0.6,0.7,0.101,0,-0.5,-0.6,0.2,5.9,13.6,3.5,7.4,2.3,6.2,2.2,2.5,1.7,7.4,9.1,3.3,1,0.2,1.5,2.5,16.3,0.432,0.48,0.375,0.518,0.857,0.552
270,Austin Rivers,2020-21,28,TOT,NBA,1.3,36,7,845,9.9,0.608,0.127,1.1,9.6,5.4,13.2,1.8,0.2,12.2,15.4,109,112,0.4,0.9,0.072,-2.1,-0.1,-2.2,0,4.6,10.8,2.2,4.2,2.4,6.6,1,1.4,0.4,3.3,3.6,3.6,1.3,0.1,1.6,2.8,12.6,0.424,0.51,0.369,0.537,0.71,0.551
271,Isaiah Roby,2020-21,22,OKC,NBA,1.3,61,34,1425,11.9,0.254,0.273,6.4,18.6,12.4,11.4,1.7,2.3,19,17.7,102,112,-0.3,1.5,0.043,-3.6,0.2,-3.5,-0.5,5.2,10.7,4.4,8,0.8,2.7,2.2,2.9,2.2,6.3,8.5,2.7,1.3,0.9,2.8,4.1,13.3,0.483,0.547,0.294,0.52,0.744,0.555
272,Rajon Rondo,2020-21,34,TOT,NBA,1.3,45,3,770,13.2,0.414,0.079,2.7,12.9,7.9,35.3,2.4,0.5,26.2,17.2,108,112,0.5,0.8,0.081,-0.6,0.3,-0.3,0.3,4.6,10.3,2.8,6.1,1.7,4.3,0.8,0.8,0.9,4.4,5.3,9.6,1.8,0.2,3.8,2.5,11.6,0.442,0.468,0.404,0.526,0.941,0.544
273,Deni Avdija,2020-21,20,WAS,NBA,1.2,54,32,1257,7.6,0.538,0.144,1.9,20.2,11,6.3,1.2,1,9,12,103,113,0,1.2,0.046,-3.6,-0.3,-3.9,-0.6,3.6,8.6,2.1,4,1.5,4.6,0.8,1.2,0.6,6.6,7.2,1.7,0.9,0.4,0.9,3.9,9.4,0.417,0.535,0.315,0.502,0.644,0.515
274,DeAndre' Bembry,2020-21,26,TOR,NBA,1.2,51,12,972,11.2,0.232,0.289,3.6,13.3,8.3,15.6,2.6,1.9,21.6,14.6,104,111,0.1,1.1,0.059,-3.2,1.2,-2.1,0,4.4,8.5,3.8,6.5,0.5,2,1.7,2.5,1.2,4.2,5.5,4,2,0.7,2.7,3.2,10.9,0.513,0.589,0.264,0.544,0.682,0.57
275,DeMarcus Cousins,2020-21,30,TOT,NBA,1.2,41,11,713,16.4,0.443,0.266,8,32.7,20,16.3,2.3,3,15.8,24.5,103,107,0,1.2,0.079,-1.2,1.9,0.7,0.5,6.6,15.4,4.2,8.6,2.4,6.8,3,4.1,2.7,10.6,13.3,3.8,1.7,1.2,3.2,5.4,18.5,0.426,0.488,0.348,0.503,0.728,0.537
276,Darius Garland,2020-21,21,CLE,NBA,1.2,54,50,1790,14.2,0.332,0.165,1.4,6.8,4,30.9,1.8,0.3,16,24.9,105,117,0.3,0.9,0.033,0.2,-1.8,-1.6,0.1,7.5,16.6,5.3,11.1,2.2,5.5,2.3,2.7,0.5,2.2,2.7,6.8,1.4,0.1,3.4,2.3,19.4,0.451,0.479,0.395,0.517,0.848,0.547
277,Frank Jackson,2020-21,22,DET,NBA,1.2,40,6,738,13.3,0.512,0.256,2.2,10.8,6.5,7.9,1,0.1,9.4,21.3,112,116,0.7,0.4,0.076,-0.4,-1.6,-2.1,0,6.7,14.6,3.6,7.1,3,7.5,3,3.7,0.7,3.5,4.3,1.8,0.7,0,1.7,2.6,19.4,0.457,0.51,0.407,0.561,0.813,0.598
278,James Johnson,2020-21,33,TOT,NBA,1.2,51,12,1043,11.4,0.367,0.232,3.4,15.1,9.3,12.9,2,3.8,13.2,17.1,103,111,-0.1,1.3,0.055,-2.6,1.1,-1.5,0.1,5.1,11.4,4,7.2,1.1,4.2,1.6,2.7,1.1,5.1,6.2,3.4,1.5,1.5,1.9,4.2,12.9,0.446,0.556,0.258,0.494,0.592,0.51
279,Jalen McDaniels,2020-21,23,CHO,NBA,1.2,47,18,904,11.4,0.37,0.225,5.3,15.1,10.1,8.6,1.5,2.1,12.6,17,107,113,0.3,0.9,0.062,-2.7,-0.5,-3.3,-0.3,5.4,11.5,4,7.3,1.4,4.3,1.8,2.6,1.8,5,6.8,2.1,1.1,0.8,1.8,3.8,14,0.468,0.547,0.333,0.53,0.703,0.554
280,Jordan McLaughlin,2020-21,24,MIN,NBA,1.2,51,2,938,12,0.38,0.124,2.3,10.4,6.2,28,2.6,0.6,16.7,13.7,110,115,0.6,0.6,0.062,-2.1,0,-2.2,0,3.8,9.1,2.5,5.7,1.2,3.5,0.9,1.1,0.8,3.3,4.1,7.3,1.9,0.2,1.9,1.7,9.7,0.413,0.447,0.359,0.481,0.767,0.502
281,Mychal Mulder,2020-21,26,GSW,NBA,1.2,60,6,766,10.8,0.808,0.083,1.1,7.1,4.2,4.8,0.7,1.4,5.5,16.2,113,115,0.6,0.6,0.075,-0.9,-1.4,-2.3,0,5.5,12.2,1.6,2.3,3.9,9.8,0.6,1,0.4,2.4,2.8,1.2,0.6,0.6,0.7,2.6,15.5,0.449,0.667,0.397,0.609,0.636,0.613
282,Semi Ojeleye,2020-21,26,BOS,NBA,1.2,56,15,950,8.3,0.715,0.145,3.6,13.7,8.6,5.1,0.9,0,8.2,11.6,114,116,0.7,0.6,0.063,-1.5,-1.2,-2.7,-0.2,3.4,8.5,1.2,2.4,2.2,6.1,0.9,1.2,1.2,4.5,5.7,1.4,0.7,0,0.8,2.2,10,0.403,0.492,0.367,0.534,0.75,0.553
283,Patrick Patterson,2020-21,31,LAC,NBA,1.2,38,5,582,10.9,0.679,0.103,3.8,10.5,7.2,6.7,1.2,1.2,6,14,119,113,0.7,0.5,0.101,-0.4,-0.5,-0.9,0.2,4.6,10.5,2,3.4,2.6,7.1,0.8,1.1,1.2,3.6,4.8,1.9,0.9,0.5,0.7,2.9,12.6,0.436,0.604,0.357,0.558,0.765,0.571
284,Moritz Wagner,2020-21,23,TOT,NBA,1.2,45,24,722,12.5,0.397,0.38,3.9,17.7,10.7,9.7,1.7,2.2,13.9,18.1,110,112,0.5,0.8,0.082,-2.7,0,-2.7,-0.1,5.1,11.3,3.6,6.8,1.5,4.5,3.5,4.3,1.3,5.8,7.2,2.5,1.3,0.9,2.1,5.3,15.2,0.454,0.529,0.341,0.522,0.816,0.58
285,LaMarcus Aldridge,2020-21,35,TOT,NBA,1.1,26,23,674,15.7,0.27,0.159,3,15.8,9.4,11,0.8,3.7,7.9,22.2,109,113,0.5,0.6,0.08,-0.2,-0.4,-0.6,0.2,7.6,16,5.9,11.7,1.7,4.3,2.2,2.5,1,5.3,6.4,2.6,0.6,1.6,1.5,2.5,19,0.473,0.505,0.388,0.525,0.872,0.556
286,Dewayne Dedmon,2020-21,31,MIA,NBA,1.1,16,0,210,24.5,0.077,0.415,15.5,31,23.4,9.6,2.1,3,14.5,19.3,135,105,0.7,0.4,0.256,1.2,0.7,1.9,0.2,8.2,11.5,8,10.6,0.2,0.9,3.5,4.8,5,10.3,15.3,2.1,1.6,1.1,2.3,6.4,20,0.708,0.75,0.2,0.715,0.741,0.735
287,PJ Dozier,2020-21,24,DEN,NBA,1.1,50,6,1088,10.4,0.42,0.186,3.7,15.3,9.5,11.2,1.4,2,10.7,17.2,104,113,0.1,1.1,0.051,-2.2,-0.8,-3,-0.3,5,12.1,3.4,7,1.6,5.1,1.4,2.2,1.2,5,6.2,3.1,1.1,0.7,1.6,2.9,13.1,0.417,0.49,0.315,0.483,0.636,0.501
288,Javonte Green,2020-21,27,TOT,NBA,1.1,41,2,473,12.1,0.294,0.392,6.1,10.6,8.3,4.8,2.9,1.1,13.7,12.6,118,111,0.5,0.6,0.107,-2.2,1.5,-0.8,0.2,4.1,7.9,3.3,5.6,0.8,2.3,2.3,3.1,2,3.5,5.5,1.3,2.2,0.5,1.5,3.5,11.3,0.52,0.597,0.333,0.569,0.75,0.61
289,Juan Hernangómez,2020-21,25,MIN,NBA,1.1,52,6,900,12.1,0.562,0.324,5.2,20,12.3,5.6,1,0.7,7.3,17.2,111,117,0.6,0.5,0.06,-1.3,-2.1,-3.3,-0.3,5.1,11.8,3,5.2,2.2,6.6,2.4,3.8,1.8,6.3,8.1,1.4,0.7,0.3,1.1,2,14.8,0.435,0.573,0.327,0.527,0.619,0.549
290,Nassir Little,2020-21,20,POR,NBA,1.1,48,2,640,11.6,0.479,0.269,5.2,16.5,10.7,4.9,0.4,1.8,8.8,13.8,121,118,0.9,0.2,0.082,-1.1,-2,-3.1,-0.2,4.5,9.5,2.9,5,1.6,4.6,2.1,2.6,1.8,5.5,7.3,1.3,0.3,0.7,1,2.9,12.6,0.467,0.575,0.35,0.551,0.8,0.589
291,Cody Martin,2020-21,25,CHO,NBA,1.1,52,10,849,10.6,0.309,0.229,6.5,14.1,10.3,13.9,2.1,1.4,16.2,12.5,107,113,0.2,0.9,0.061,-2.6,0.3,-2.2,-0.1,3.6,8.1,2.9,5.6,0.7,2.5,1.1,1.9,2.2,4.7,6.9,3.7,1.6,0.5,1.7,2.2,8.9,0.441,0.515,0.276,0.484,0.581,0.5
292,Aaron Nesmith,2020-21,21,BOS,NBA,1.1,46,1,669,9.4,0.607,0.157,4.6,16.6,10.6,4.6,1.1,1.3,10.8,13.7,113,114,0.5,0.6,0.076,-2.9,-0.4,-3.2,-0.2,4.3,9.7,2.1,3.8,2.2,5.9,1.2,1.5,1.5,5.4,7,1.3,0.8,0.5,1.3,4.8,11.9,0.438,0.543,0.37,0.551,0.786,0.573
293,Ish Smith,2020-21,32,WAS,NBA,1.1,44,1,924,11.6,0.165,0.111,2.5,14.6,8.6,24.7,1.6,1.2,11.6,15.8,106,113,0.2,0.9,0.056,-2,0.2,-1.9,0,4.8,11.1,4.2,9.3,0.7,1.8,0.7,1.2,0.8,4.8,5.6,6.4,1.2,0.5,1.5,2.3,11,0.434,0.448,0.367,0.465,0.576,0.473
294,Grant Williams,2020-21,22,BOS,NBA,1.1,63,9,1138,7.5,0.522,0.206,4.7,12.8,8.7,7.4,1.4,2,17.2,12.3,105,114,0.1,1,0.046,-4,0,-4,-0.6,3.5,8,1.9,3.8,1.5,4.2,1,1.6,1.5,4.2,5.7,2.1,1,0.8,1.8,5.2,9.5,0.437,0.508,0.372,0.534,0.588,0.546
295,Aron Baynes,2020-21,34,TOR,NBA,1,53,31,980,10.5,0.339,0.135,9.4,21.7,15.3,7,0.8,2.3,12.5,16.2,104,113,0.1,0.9,0.049,-3.5,-1.3,-4.7,-0.7,5,11.3,4,7.4,1,3.8,1.1,1.5,3.2,6.9,10.1,1.7,0.6,0.9,1.7,4.4,12,0.441,0.532,0.262,0.485,0.707,0.503
296,Thomas Bryant,2020-21,23,WAS,NBA,1,10,10,271,18.7,0.231,0.264,7.1,16.8,11.9,8.2,0.7,2.5,9.8,17.2,132,114,0.7,0.2,0.171,2.1,-1.7,0.4,0.2,7.5,11.6,6.4,8.9,1.1,2.7,2,3.1,2.3,5.5,7.8,1.9,0.5,1,1.4,4,18.2,0.648,0.714,0.429,0.698,0.667,0.704
297,Stanley Johnson,2020-21,24,TOR,NBA,1,61,13,1006,8.8,0.588,0.236,3.1,14.1,8.4,12,2.5,1.8,17.4,13.4,102,112,-0.1,1.1,0.048,-3.6,1,-2.6,-0.1,3.2,8.4,1.6,3.5,1.6,4.9,1.6,2,1,4.5,5.5,3.2,1.9,0.6,1.9,4.2,9.6,0.382,0.458,0.328,0.479,0.8,0.519
298,Boban Marjanović,2020-21,32,DAL,NBA,1,33,3,271,22.6,0.066,0.311,19.3,32.7,26,5.9,0.4,2.1,8,24.6,121,111,0.7,0.3,0.183,1.6,-2.7,-1.1,0.1,8.5,16.7,8.3,15.6,0.1,1.1,4.2,5.2,6.4,11.1,17.5,1.4,0.3,0.8,1.6,4,21.3,0.508,0.535,0.125,0.512,0.816,0.562
299,JaVale McGee,2020-21,33,TOT,NBA,1,46,2,678,17,0.085,0.238,12.6,27.3,19.8,9.7,1.4,7.3,16.2,23.9,102,107,-0.1,1.1,0.068,-3.2,1,-2.1,0,7.9,15.4,7.6,14.1,0.3,1.3,2.4,3.7,4.2,8.8,13,2.1,1,2.9,3.3,6.6,18.4,0.511,0.539,0.208,0.52,0.657,0.541
300,Malik Monk,2020-21,22,CHO,NBA,1,42,0,878,13.6,0.531,0.18,1.7,10.9,6.2,15.7,1.1,0.5,11.3,23.8,108,116,0.5,0.5,0.054,0.3,-2.3,-1.9,0,7.2,16.6,3.7,7.8,3.5,8.8,2.5,3,0.6,3.6,4.2,3.6,0.8,0.2,2.3,2,20.4,0.434,0.471,0.401,0.54,0.819,0.569
301,Elfrid Payton,2020-21,26,NYK,NBA,1,63,63,1484,11.7,0.158,0.172,4.7,11,7.9,21.6,1.6,0.6,13.3,23.2,99,110,-0.9,1.9,0.032,-2.8,-0.6,-3.4,-0.5,6.8,15.7,6.1,13.2,0.7,2.5,1.8,2.7,1.6,3.8,5.5,5.1,1.2,0.2,2.6,2.9,16.2,0.432,0.46,0.286,0.455,0.682,0.478
302,Taurean Prince,2020-21,26,TOT,NBA,1,41,10,905,12.1,0.474,0.232,2.3,15.3,8.8,12.8,1.5,2.3,11.5,19.6,106,114,0.2,0.8,0.052,-1.2,-0.8,-2,0,5.3,13.3,2.8,7,2.5,6.3,2.6,3.1,0.8,5,5.8,3.1,1.1,0.9,1.9,3,15.8,0.401,0.401,0.4,0.495,0.855,0.54
303,Mike Scott,2020-21,32,PHI,NBA,1,51,12,852,6.8,0.735,0.057,1.4,13.8,7.8,6.1,1.4,1.5,8.1,11.9,101,110,-0.1,1.1,0.058,-3.2,0.1,-3.1,-0.2,3.2,9,1,2.4,2.2,6.6,0.3,0.5,0.5,4.6,5.1,1.7,1,0.6,0.8,3.1,9,0.36,0.411,0.342,0.486,0.667,0.492
304,P.J. Tucker,2020-21,35,TOT,NBA,1,52,33,1356,5.5,0.672,0.158,3.9,12.3,8,5.7,1.4,1.3,17.4,7.2,104,116,0.1,0.9,0.034,-4.5,0.2,-4.3,-0.8,1.7,4.6,0.7,1.5,1,3.1,0.5,0.7,1.3,4,5.3,1.6,1,0.5,1,3.3,5,0.373,0.448,0.336,0.486,0.75,0.51
305,Ryan Arcidiacono,2020-21,26,CHI,NBA,0.9,44,0,450,9.8,0.573,0.171,1.2,15.1,8.3,16.3,1,0,7.4,13.1,118,114,0.5,0.4,0.093,-2.7,0.2,-2.5,-0.1,4,9.5,1.9,4,2,5.4,1.1,1.6,0.4,5,5.4,4.5,0.7,0,0.8,3.8,11,0.419,0.48,0.373,0.526,0.65,0.541
306,Nemanja Bjelica,2020-21,32,TOT,NBA,0.9,37,3,595,12.9,0.434,0.26,5.4,18.5,11.9,16.2,1.2,0.8,13.1,18.4,111,116,0.5,0.3,0.071,-1.4,-1.1,-2.5,-0.1,5.4,12,3.8,6.8,1.6,5.2,2.3,3.1,1.8,6,7.8,4.2,0.9,0.3,2,4.2,14.8,0.454,0.559,0.318,0.523,0.725,0.554
307,Langston Galloway,2020-21,29,PHO,NBA,0.9,40,0,438,12.1,0.578,0.156,1.8,8.9,5.4,8,0.9,0,7.6,17.3,118,115,0.6,0.3,0.096,-0.2,-1.2,-1.4,0.1,5.6,12.4,2.5,5.2,3,7.2,1.9,1.9,0.6,3,3.6,2.2,0.7,0,1.1,2.1,16.1,0.449,0.484,0.424,0.571,0.957,0.605
308,Freddie Gillespie,2020-21,23,TOR,NBA,0.9,20,2,392,13.4,0,0.393,11.4,16,13.6,3.2,1.6,5.1,10.9,12.2,120,111,0.5,0.5,0.116,-3.1,-0.1,-3.2,-0.1,4.1,7.8,4.1,7.8,0,0,2.1,3.1,3.9,5.1,9,0.8,1.2,1.9,1.1,4,10.3,0.524,0.524,,0.524,0.697,0.563
309,Alize Johnson,2020-21,24,BRK,NBA,0.9,18,0,189,23.5,0.088,0.191,16.6,35,26.3,10.9,1.3,2.3,10.9,19.1,131,109,0.6,0.3,0.227,2.4,0.2,2.6,0.2,7.7,13,7.5,11.9,0.2,1.1,2.5,2.5,5.2,12.1,17.2,2.7,1,1,1.7,3.1,18,0.588,0.629,0.167,0.596,1,0.638
310,Kira Lewis,2020-21,19,NOP,NBA,0.9,54,0,904,10.3,0.356,0.151,1.4,7.1,4.3,18.7,2,1,8.6,18.3,106,115,0.2,0.6,0.045,-3.2,-0.5,-3.8,-0.4,5.2,13.4,3.6,8.6,1.6,4.8,1.7,2,0.5,2.3,2.8,4.9,1.5,0.4,1.4,3.5,13.6,0.386,0.415,0.333,0.445,0.843,0.477
311,Kevin Love,2020-21,32,CLE,NBA,0.9,25,25,622,15.1,0.619,0.202,3,31.2,16.7,16,1.3,0.3,12.2,21.9,108,113,0.3,0.6,0.073,0.8,-0.8,0,0.3,6.1,15,2.7,5.7,3.4,9.3,2.5,3,1,10.1,11.1,3.7,1,0.1,2.3,1.5,18.1,0.409,0.479,0.365,0.522,0.824,0.556
312,Naji Marshall,2020-21,23,NOP,NBA,0.9,32,10,700,11.4,0.397,0.359,2.3,20.6,11.5,16.5,1.8,1.4,13.6,16.8,106,113,0.2,0.7,0.061,-2.1,0.8,-1.2,0.1,4.2,10.7,2.7,6.5,1.5,4.3,2.7,3.9,0.8,6.8,7.6,4.5,1.3,0.5,2,3,12.6,0.392,0.421,0.349,0.462,0.707,0.508
313,Zeke Nnaji,2020-21,20,DEN,NBA,0.9,42,1,397,11.3,0.567,0.144,4,14.5,9.3,3.3,1,1,6,12.9,124,115,0.6,0.3,0.104,-0.7,-1.4,-2.1,0,4.7,9.7,2.4,4.2,2.2,5.5,1.1,1.4,1.3,4.8,6.1,0.9,0.7,0.4,0.7,2.7,12.7,0.481,0.578,0.407,0.596,0.8,0.615
314,Isaac Okoro,2020-21,20,CLE,NBA,0.9,67,67,2173,7.9,0.383,0.281,3.4,7.3,5.3,8.6,1.4,1,12,14.3,103,117,-0.1,1,0.02,-4.2,-0.8,-5,-1.6,4,9.5,2.9,5.9,1.1,3.6,1.9,2.7,1.2,2.3,3.5,2.2,1.1,0.4,1.5,3.1,11,0.42,0.501,0.29,0.476,0.726,0.514
315,Miye Oni,2020-21,23,UTA,NBA,0.9,54,0,519,6.4,0.889,0.061,4.9,11.9,8.6,6.8,1,1.2,13.6,9.8,110,110,0.2,0.7,0.081,-3.1,0.9,-2.1,0,2.5,7,0.4,0.8,2.1,6.2,0.4,0.4,1.6,4.3,5.9,2,0.8,0.6,1.1,4.3,7.4,0.354,0.455,0.341,0.505,0.833,0.517
316,Eric Paschall,2020-21,24,GSW,NBA,0.9,40,2,695,13.4,0.181,0.315,4.3,15.1,9.8,11.4,0.8,0.9,11.2,23.5,106,113,0.2,0.7,0.062,-1.7,-1.5,-3.2,-0.2,7.5,15.1,6.6,12.4,0.9,2.7,3.4,4.8,1.4,5.1,6.5,2.6,0.6,0.4,2.2,3.4,19.3,0.497,0.533,0.333,0.527,0.713,0.561
317,Terrence Ross,2020-21,29,ORL,NBA,0.9,46,2,1347,13.2,0.429,0.224,1.1,11.4,6.1,13.2,1.7,1.4,9.9,24.1,103,115,-0.1,1,0.03,-1.3,-1.1,-2.4,-0.1,6.9,16.7,4.5,9.5,2.4,7.2,3.3,3.7,0.4,3.9,4.3,2.9,1.3,0.6,2,2.4,19.4,0.412,0.469,0.337,0.485,0.87,0.53
318,Max Strus,2020-21,24,MIA,NBA,0.9,39,0,507,12.1,0.791,0.128,1.1,8,4.6,7.3,1.1,0.4,3.9,18.3,115,115,0.6,0.3,0.088,-0.4,-1.8,-2.2,0,6.2,13.7,2.6,2.9,3.7,10.9,1.2,1.8,0.4,2.6,3,1.8,0.8,0.1,0.6,3.2,17.3,0.455,0.897,0.338,0.588,0.667,0.597
319,Brad Wanamaker,2020-21,31,TOT,NBA,0.9,61,0,1053,9.5,0.284,0.338,1.8,8.8,5.3,22.5,1.9,1,17.1,16.9,102,113,-0.2,1,0.039,-4.6,-0.2,-4.8,-0.7,3.9,10.2,3.4,7.3,0.5,2.9,3.1,3.4,0.6,3,3.6,5.9,1.5,0.4,2.4,3.2,11.4,0.385,0.463,0.188,0.411,0.891,0.489
320,Hassan Whiteside,2020-21,31,SAC,NBA,0.9,36,4,546,19.2,0.004,0.353,12.2,31.8,21.9,5.6,0.8,7.1,13.4,23.5,107,111,0.3,0.6,0.081,-1.8,-0.6,-2.5,-0.1,8.3,14.8,8.3,14.7,0,0.1,2.7,5.2,4,10.2,14.2,1.3,0.6,3,2.6,4.8,19.3,0.563,0.565,0,0.563,0.519,0.566
321,Tyler Cook,2020-21,23,TOT,NBA,0.8,32,1,438,12.8,0.019,0.34,7,17.2,12.1,5.9,0.9,0.4,15.1,13.9,118,115,0.5,0.3,0.09,-2.5,-0.5,-3,-0.1,5.8,8.6,5.7,8.5,0.1,0.2,1.4,2.9,2.4,5.6,8,1.4,0.7,0.2,1.8,2.9,13.1,0.67,0.673,0.5,0.675,0.486,0.659
322,Ed Davis,2020-21,31,MIN,NBA,0.8,23,7,299,13.1,0,0.273,16.1,26,20.8,9,2.1,3.8,12.4,7.9,130,110,0.5,0.4,0.135,-3.5,0.7,-2.9,-0.1,2.3,5.2,2.3,5.2,0,0,1.2,1.4,5.4,8.2,13.6,2.5,1.5,1.5,0.8,6.6,5.7,0.432,0.432,,0.432,0.833,0.487
323,Terence Davis,2020-21,23,TOT,NBA,0.8,61,4,1074,12.7,0.586,0.121,2,14.1,7.9,11.4,2,1.2,11.6,21.8,104,115,0.1,0.8,0.038,-1,-1,-2,0,6.6,15.3,3.3,6.4,3.3,9,1.5,1.9,0.7,4.5,5.2,2.8,1.5,0.5,2.1,3.3,17.9,0.428,0.513,0.367,0.535,0.818,0.555
324,Anthony Edwards,2020-21,19,MIN,NBA,0.8,72,55,2314,13.9,0.429,0.225,2.7,13.5,7.9,14.6,1.7,1.3,10.7,27,102,116,-0.6,1.4,0.017,-0.9,-1.7,-2.6,-0.3,7.7,18.5,5.1,10.6,2.6,8,3.2,4.2,0.9,4.2,5.1,3.2,1.3,0.6,2.4,2,21.3,0.417,0.483,0.329,0.488,0.776,0.523
325,Malachi Flynn,2020-21,22,TOR,NBA,0.8,47,14,928,10.9,0.494,0.165,1.1,13,6.9,21.4,2,0.8,10.5,19,103,114,0,0.8,0.041,-2.8,0,-2.8,-0.2,5,13.3,2.9,6.7,2.1,6.6,1.8,2.2,0.4,4.1,4.5,5.4,1.5,0.3,1.7,2.7,13.8,0.374,0.424,0.321,0.453,0.804,0.484
326,Eric Gordon,2020-21,32,HOU,NBA,0.8,27,13,789,14.4,0.572,0.311,1,7.1,3.9,14.6,0.8,1.5,10.9,25.2,108,119,0.6,0.2,0.048,0.9,-1.5,-0.6,0.3,7.2,16.5,4,7.1,3.1,9.4,4.2,5.1,0.4,2.2,2.6,3.2,0.6,0.6,2.3,2,21.6,0.433,0.573,0.329,0.527,0.825,0.577
327,Donta Hall,2020-21,23,ORL,NBA,0.8,13,0,179,22.3,0,0.971,13.5,22.8,18,9.4,1.4,5.1,13.8,14,142,110,0.6,0.2,0.223,0.9,1.2,2.2,0.2,5.1,7.1,5.1,7.1,0,0,4.7,6.9,4.9,7.7,12.6,2.2,1,2,1.6,3.7,14.9,0.714,0.714,,0.714,0.676,0.731
328,Skylar Mays,2020-21,23,ATL,NBA,0.8,33,0,269,16.8,0.408,0.255,4.2,10,7.1,16.4,2.6,0.7,7.6,19.1,121,113,0.5,0.3,0.14,1,0.6,1.6,0.2,6,13.4,4.1,8,1.9,5.5,3,3.4,1.4,3.4,4.8,4.1,1.9,0.3,1.2,2.1,17,0.449,0.517,0.35,0.52,0.88,0.569
329,Alfonzo McKinnie,2020-21,28,LAL,NBA,0.8,39,0,258,15.5,0.419,0.194,9.6,13.9,11.8,3.6,1.3,0,4.7,17.8,123,110,0.5,0.3,0.156,0.4,-1.2,-0.8,0.1,6.8,13.2,4.5,7.6,2.3,5.5,1.4,2.5,3.1,4.5,7.6,0.8,1,0,0.7,3.7,17.3,0.516,0.593,0.41,0.602,0.556,0.604
