"Name","TeamAbbreviation","GamesPlayed","Minutes","Assists","AssistPoints","TwoPtAssists","ThreePtAssists","AtRimAssists","ShortMidRangeAssists","LongMidRangeAssists","Corner3Assists","Arc3Assists"
"Luke Babbitt","NOP",47,845,53,124,35,18,20,5,10,3,15
"Kris Humphries","ATL",53,835,36,82,26,10,13,3,10,4,6
"Marreese Speights","GSW",72,832,61,144,39,22,21,6,12,5,17
"Andrew Nicholson","ORL",56,823,25,65,10,15,3,3,4,7,8
"Pablo Prigioni","LAC",59,823,130,308,82,48,47,13,22,21,27
"Jonathon Simmons","SAS",55,813,58,142,32,26,14,7,11,6,20
"Gary Neal","WAS",40,807,47,112,29,18,12,5,12,6,12
"Cole Aldrich","LAC",60,800,50,125,25,25,11,7,7,11,14
"Alec Burks","UTA",31,797,63,146,43,20,32,2,9,9,11
"DeMarre Carroll","TOR",26,786,27,69,12,15,8,1,3,6,9
"Justin Holiday","CHI",53,772,56,126,42,14,26,7,9,3,11
"Festus Ezeli","GSW",46,770,32,83,13,19,3,1,9,7,12
"Tyreke Evans","NOP",25,765,164,390,102,62,53,10,39,15,47
"Kyle O'Quinn","NYK",65,764,72,156,60,12,36,5,19,2,10
"Amar'e Stoudemire","MIA",52,762,27,60,21,6,7,6,8,5,1
"Mo Williams","CLE",41,748,98,223,71,27,52,7,12,8,19
"Tim Frazier","NOP",51,741,162,372,114,48,66,20,28,13,35
"Norman Powell","TOR",49,725,47,117,24,23,12,6,6,9,14
"James Anderson","SAC",51,721,41,98,25,16,15,5,5,11,5
"Tyler Zeller","BOS",60,710,29,64,23,6,11,1,11,2,4
"Beno Udrih","MIA",44,708,116,264,84,32,36,18,30,8,24
"Dewayne Dedmon","ORL",58,705,13,31,8,5,5,0,3,0,5
"Mike Dunleavy","CHI",31,703,39,89,28,11,14,4,10,5,6
"Richaun Holmes","PHI",51,702,33,78,21,12,15,3,3,4,8
"Nick Collison","OKC",59,699,52,112,44,8,26,11,7,1,7
"Cameron Payne","OKC",57,698,108,251,73,35,40,13,20,10,25
"Seth Curry","SAC",44,692,67,153,48,19,28,13,7,6,13
"Kelly Oubre Jr.","WAS",63,671,13,29,10,3,7,2,1,1,2
"Charlie Villanueva","DAL",62,665,24,52,20,4,15,1,4,2,2
"Jeff Withey","UTA",51,658,20,53,7,13,3,0,4,2,11
"C.J. Watson","ORL",33,656,88,202,62,26,24,6,32,9,17
"Tyler Ennis","MIL",46,654,95,212,73,22,43,13,17,8,14
"Justin Anderson","DAL",55,647,29,70,17,12,11,1,5,2,10
"Joakim Noah","CHI",29,635,110,257,73,37,38,12,23,4,33
"Andrea Bargnani","BKN",46,634,18,43,11,7,5,1,5,3,4
"Kirk Hinrich","ATL",46,631,73,171,48,25,21,11,16,6,19
"Sean Kilpatrick","BKN",31,616,29,70,17,12,11,1,5,3,9
"Rondae Hollis-Jefferson","BKN",29,615,43,93,36,7,18,8,10,4,3
