Player,Age,Tm,Lg,Season,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Abdel Nader,26,OKC,NBA,2019-20,55,6,867,11.3,0.487,0.251,1.8,10.6,6.4,6.4,1.3,2,12.8,17,107,111,0.5,0.9,1.3,0.074,-1.1,0.2,-1,0.2,123,263,75,135,48,128,51,66,14,86,100,38,23,20,43,78,345
Larry Nance,27,CLE,NBA,2019-20,56,10,1472,17.3,0.369,0.172,7.9,23.1,15.4,12.3,1.9,1.3,11.5,15.2,122,113,2.8,1.1,3.9,0.128,1.4,0.4,1.7,1.4,229,431,173,272,56,159,50,74,106,303,409,123,56,22,60,91,564
Shabazz Napier,28,TOT,NBA,2019-20,56,32,1344,13.8,0.526,0.336,2,10.9,6.3,27.8,2.4,0.7,19.7,20,106,114,0.8,0.9,1.7,0.059,-0.7,-0.4,-1.1,0.3,188,456,112,216,76,240,126,153,26,132,158,262,69,11,128,101,578
Raul Neto,27,PHI,NBA,2019-20,54,3,668,12.7,0.396,0.212,1.8,8.3,5,20.3,1.7,0.8,16.2,18.7,109,111,0.5,0.6,1.2,0.083,-1.2,-0.6,-1.8,0,101,222,67,134,34,88,39,47,11,50,61,95,24,6,47,50,275
Malik Newman,22,CLE,NBA,2019-20,1,0,4,-11.4,0.5,1,0,0,0,0,0,0,25.8,41.5,58,123,0,0,0,-0.502,-14.5,-11.2,-25.7,0,0,2,0,1,0,1,2,2,0,0,0,0,0,0,1,0,2
Georges Niang,26,UTA,NBA,2019-20,66,1,923,11.7,0.699,0.075,1.9,12.9,7.6,7,0.9,0.4,8.3,17.2,113,112,1,0.8,1.8,0.092,0.4,-0.5,-0.1,0.4,141,322,51,97,90,225,20,24,15,112,127,44,18,5,30,75,392
Joakim Noah,34,LAC,NBA,2019-20,5,0,50,11.1,0,1,10.7,22.3,16.6,17.9,0.9,1.8,34.2,14.7,107,107,0,0.1,0.1,0.096,-4.1,2.5,-1.6,0,4,8,4,8,0,0,6,8,5,11,16,7,1,1,6,9,14
Nerlens Noel,25,OKC,NBA,2019-20,61,7,1127,20.4,0.011,0.394,9.2,19.9,14.7,7.6,2.5,6.9,17.3,14.9,127,102,2.6,2.3,4.9,0.209,-0.3,3.4,3.1,1.5,184,269,183,266,1,3,80,106,91,209,300,57,59,91,66,166,449
Zach Norvell,22,TOT,NBA,2019-20,5,0,41,2.6,0.667,0.083,0,16.3,7.9,10.2,2.3,0,19.4,16.1,74,112,-0.1,0,-0.1,-0.084,-7.1,-1.2,-8.4,-0.1,3,12,0,4,3,8,1,1,0,6,6,3,2,0,3,4,10
Jaylen Nowell,20,MIN,NBA,2019-20,15,0,151,10.5,0.491,0.321,2,7.3,4.5,17.8,0.9,0.6,4.7,17.3,109,117,0.1,0,0.2,0.051,-2.9,-0.8,-3.8,-0.1,19,53,16,27,3,26,16,17,3,10,13,19,3,1,3,11,57
Frank Ntilikina,21,NYK,NBA,2019-20,57,26,1187,9.8,0.411,0.177,2,9.1,5.4,20.2,2.2,1.3,16.5,15.4,103,113,0.1,0.8,0.9,0.037,-3.6,0.4,-3.2,-0.4,131,333,87,196,44,137,51,59,23,98,121,172,54,16,71,142,357
Kendrick Nunn,24,MIA,NBA,2019-20,67,67,1962,12.9,0.428,0.109,1.2,8.7,5.1,18.5,1.4,0.8,10.6,24.1,103,112,0.4,1.6,2,0.049,-1,-1.3,-2.3,-0.1,401,914,264,523,137,391,85,100,21,159,180,220,56,15,114,152,1024
Jusuf Nurkić,25,POR,NBA,2019-20,8,8,253,22.6,0.092,0.321,9.6,24.1,16.9,19.1,2.1,5.4,13.2,24,116,108,0.5,0.3,0.9,0.164,1,0.9,2,0.2,54,109,52,99,2,10,31,35,23,59,82,32,11,16,19,39,141
David Nwaba,27,BRK,NBA,2019-20,20,0,268,14,0.394,0.38,3.2,14,8.7,4.3,1.9,3.7,8.8,14.2,120,107,0.4,0.4,0.8,0.138,-1,2,1,0.2,37,71,25,43,12,28,18,27,8,37,45,8,11,12,8,32,104
Royce O'Neale,26,UTA,NBA,2019-20,71,62,2049,9.5,0.668,0.151,1.5,18.8,10.4,11.6,1.4,1.3,13.5,9.6,117,109,1.8,2.5,4.3,0.101,-1.3,2.2,0.9,1.5,158,365,66,121,92,244,42,55,27,362,389,180,59,32,61,202,450
Kyle O'Quinn,29,PHI,NBA,2019-20,29,2,313,18.6,0.318,0.235,12,29,20.5,22.7,1.1,6.5,17.6,15.7,117,104,0.5,0.6,1.1,0.165,0.3,2.7,3,0.4,42,85,35,58,7,27,11,20,34,82,116,51,7,24,20,37,102
Semi Ojeleye,25,BOS,NBA,2019-20,69,6,1011,7.7,0.648,0.163,2.8,12.5,7.7,4.7,1,0.5,8.3,9.7,116,111,0.8,1,1.9,0.088,-2.1,0.4,-1.7,0.1,80,196,32,69,48,127,28,32,26,119,145,37,21,5,19,80,236
